id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
71088,3.0924477500858734,3,89,30,33,55,31,29,18,10,320,8373.0,22
71089,3.3124522278728037,17,80,91,107,70,32,25,5,3,442,8374.0,11
71090,3.062751420309674,12,22,24,20,21,15,11,12,6,159,8375.0,16
71091,3.417972195539682,23,46,44,58,36,15,15,3,2,249,8376.0,5
71092,3.9799999999999995,22,65,13,3,4,3,0,1,0,112,8377.0,1
71093,3.5187344480584235,1,26,21,31,13,4,0,0,0,97,8378.0,1
71094,3.5556303720537277,12,75,53,66,29,11,8,3,1,260,8379.0,0
71095,3.4522233919529426,7,24,29,19,22,10,2,3,1,118,8380.0,1
71096,,3,17,8,0,0,1,0,0,0,31,8381.0,2
71097,,1,8,3,2,2,1,0,0,0,18,8383.0,1
71098,4.0,0,835,1,0,0,0,0,0,0,842,8384.0,6
71099,3.9848853211009176,0,430,0,1,0,0,0,1,0,436,8385.0,4
71100,,0,17,1,1,0,0,0,0,0,19,8386.0,0
71101,,0,0,0,0,1,0,0,0,0,7,2029.0,6
71102,,0,1,0,0,0,0,0,0,0,1,2031.0,0
71103,3.4775326455722495,11,207,109,52,44,19,8,8,8,505,8388.0,39
71104,3.2588277033380515,25,433,343,264,272,139,95,68,28,1759,8389.0,92
71105,3.869591836734694,7,60,21,4,6,0,0,1,0,102,8390.0,3
71106,3.3077566614420064,2,34,15,14,12,13,3,4,3,107,8391.0,7
71107,3.773709458893626,320,1751,594,194,118,38,16,14,12,3132,8392.0,75
71108,,3,4,1,0,0,0,0,1,0,9,8393.0,0
71109,3.4158730158730157,2,22,12,9,8,4,1,1,1,63,8394.0,3
71110,3.7445268993334344,18,113,50,19,12,5,1,2,0,224,8395.0,4
71111,3.453712863995165,10,56,37,25,17,6,3,3,1,166,8396.0,8
71112,3.4711847567468643,47,105,56,39,40,9,9,10,9,336,8397.0,12
71113,3.8429032258064515,8,19,3,0,0,0,0,0,0,31,,1
71114,,0,6,2,1,0,0,0,0,0,9,8398.0,0
71115,,0,0,3,0,0,0,0,0,0,3,8399.0,0
71116,3.6495198902606307,3,53,18,9,7,2,2,1,1,99,8400.0,3
71117,3.72,0,6,4,2,1,0,0,0,0,13,8401.0,0
71118,3.65,5,11,6,1,2,2,1,1,0,29,8402.0,0
71119,,0,3,6,0,0,1,0,0,0,10,8403.0,0
71120,,0,8,0,0,0,0,0,0,0,8,8404.0,0
71121,,0,12,2,0,0,0,0,0,0,14,8405.0,0
71122,3.950759388394857,86,173,33,4,3,0,0,0,0,319,8413.0,1
71123,3.915795717583334,26,143,21,13,6,4,2,1,0,216,8414.0,0
71124,3.809354251538528,47,91,11,7,6,3,1,0,0,166,8416.0,0
71125,,3,3,1,0,0,0,0,0,0,7,8417.0,0
71126,3.9032432432432436,1,24,12,0,0,0,0,0,0,37,8418.0,0
71127,,0,0,0,0,0,0,0,0,0,5,6356.0,5
71128,,0,0,0,0,0,0,0,0,0,2,5129.0,2
71129,,0,0,0,0,0,0,0,0,0,1,8439.0,1
71130,,0,0,0,0,0,0,0,0,0,1,8442.0,1
71131,,0,0,0,0,0,0,0,0,0,5,2129.0,5
71132,,0,0,0,0,0,0,0,0,0,1,8445.0,1
71133,,0,0,0,0,0,0,0,0,0,4,8450.0,4
